District,Rice_Fallows,Baseline_SOC,Future_Temp,Future_Precip,Temp_CV,Precip_CV,compute_flag,Mitigation_CO2,Adaptation_Stability,CSA_Index,Area_Norm,Priority_Index,Priority_Class,Net_Annual_Benefit,Net_Benefit_per_Ha
Lohit,3710.9785656541176,74.61414831281643,301.8211864833414,2355.4760160389865,0.01270039288769322,2.856734826689827,False,,,,,,Not Eligible,,
West Siang,1497.6711289062503,98.91412213740458,299.46498754164753,2582.5694719998096,0.013252065409294918,2.819326871017565,False,,,,,,Not Eligible,,
Upper Subansiri,400.88775078124985,202.04819277108433,294.00642765525305,2334.0148482078125,0.013531129874158691,2.9908904620368313,False,,,,,,Not Eligible,,
Changlang,8277.474879088477,55.746233192855726,300.4632534379176,2333.7528938463843,0.012172671753081479,2.893552946898389,False,,,,,,Not Eligible,,
Longding,16.637387109375,78.0,300.83203887939453,2748.2409886841197,0.010596683269377537,2.971657527635895,False,,,,,,Not Eligible,,
Lower Subansiri,1275.122626171876,160.97698744769875,296.0806672822445,2814.7821344927793,0.011764590213632483,3.028955116597761,False,,,,,,Not Eligible,,
East Kameng,628.9405788235294,147.64084090011843,297.34944202053936,2994.639913332987,0.012049719675341127,2.9125212801860214,False,,,,,,Not Eligible,,
Upper Siang,801.5478384466915,135.20358800157715,297.02563154122197,2101.694396336327,0.0154327370255588,2.788986561622237,False,,,,,,Not Eligible,,
Anjaw,27.436328515624997,365.625,293.29365409437077,1781.6541913968545,0.016122229804734056,2.7709169667947373,False,,,,,,Not Eligible,,
Siang,232.9203599908088,146.42899104126892,298.6538500456217,2487.063767107269,0.013669871313068575,2.7815521715660907,False,,,,,,Not Eligible,,
Dibang Valley,59.909602343749995,313.97268241099755,289.933894211457,1589.4163612176183,0.01853727189876157,2.828266611684122,False,,,,,,Not Eligible,,
Kurung Kumey,60.53132578125,483.1666666666667,289.13166681925463,2108.4023133895244,0.014348660056373384,2.9531714495322126,False,,,,,,Not Eligible,,
West Kameng,656.1094347794117,111.60895670923868,292.71885059850644,3223.3306122963286,0.012360193749084073,2.949049462894721,False,,,,,,Not Eligible,,
Lower Dibang Valley,5278.438440785866,63.67579573132972,302.16687822832057,2419.443919315538,0.013486350168025792,2.787041778983475,False,,,,,,Not Eligible,,
Tawang,44.10511875,184.36363636363637,293.7829445937008,3524.076063744711,0.012944088987416705,2.9099336186778935,False,,,,,,Not Eligible,,
Papum Pare,2838.8278545986504,80.61910774103617,298.1183129720458,2889.7937182872383,0.011353004580381205,3.0679408293637214,False,,,,,,Not Eligible,,
Tirap,34.474273474264706,88.51595744680851,301.56648661295577,2737.5049091619444,0.010857849026374353,2.9463037210676872,False,,,,,,Not Eligible,,
Namsai,4906.8986546139895,56.41354080233778,302.80829223738226,2508.9379087586617,0.012203087846091212,2.8686248763071616,False,,,,,,Not Eligible,,
East Siang,12751.73033181981,70.26674575177681,302.30222152092557,2697.09247296668,0.012600252071293254,2.800276443323051,True,62744.74665350774,0.4155518885231132,0.07743133550424176,0.007384572864383673,0.03024685343840823,Low Performance – Low Scale,2554793.646588253,200.3487824874396
Kra Daadi,27.563770312499997,136.5,295.80372619628906,2807.591342559317,0.011815757340439173,3.0256424172333176,False,,,,,,Not Eligible,,
Pakke Kessang,4804.657465245085,120.21437658446644,298.47622636740147,3192.234601281435,0.011285117767553983,3.0095837826367338,False,,,,,,Not Eligible,,
Kamle,332.2372613526348,253.63025157625316,296.18262229977967,2825.770658106037,0.011811703282584136,3.023893369110663,False,,,,,,Not Eligible,,
Shi Yomi,1114.8293371093753,133.91326530612244,289.19401550292974,1713.9796211205312,0.01561386593312298,2.9964877398539636,False,,,,,,Not Eligible,,
Leparada,373.99136015624987,89.64583333333333,299.6569773892929,2869.507008479045,0.01210840372105562,2.888527493975219,False,,,,,,Not Eligible,,
Lower Siang,1051.851456891851,90.6885323117503,301.85470754117637,2971.4748285782134,0.0114909244066766,2.9280959130148267,False,,,,,,Not Eligible,,
Goalpara,44172.92367438231,59.20880239911139,302.7245132361045,5574.293543988222,0.009815814161647916,2.5904840606704864,True,225025.85976274667,0.4347542669863408,0.29772570750854804,0.10185776256902564,0.19385966344833241,High Performance – High Scale,9193624.504616711,208.12805084822742
Nalbari,25923.73428800432,70.82905926992021,303.2109584042184,4615.547993751076,0.010199656178181955,2.8008987906921208,True,130560.1690919529,0.4157054822482446,0.191904535114013,0.04698845470859338,0.10930690763826402,Low Performance – Low Scale,5328256.258683819,205.53583058245437
Dhubri,35774.67467562601,67.88217957636404,303.4426846223719,5240.187325686781,0.010113054844982039,2.5237684268417278,True,181521.82119872898,0.44112313215032556,0.262481915565559,0.07660699114871845,0.16038619863081294,High Performance – Low Scale,7413396.477110507,207.2247069841672
Sivasagar,56235.43313056245,52.213453768085934,302.5740634940263,3029.5418881936453,0.010633628675318432,2.9849050424555656,True,277834.5809062573,0.4003572250492142,0.3073636228661216,0.1381257595143895,0.22320368048489167,High Performance – High Scale,11317248.581463277,201.24764674947718
Karimganj,27089.940888190875,94.18745517178677,303.01833251953127,5130.985952743161,0.008131662799509842,2.5475799117125453,True,137276.6010387089,0.43900935502358096,0.21285493255544974,0.05049485423241377,0.11971514071335045,Low Performance – Low Scale,5605706.633732792,206.9294524070537
Tinsukia,60881.51230837392,60.403593051776205,302.75624087907386,2726.3154298596073,0.011763202347051836,2.8840022418669315,True,299674.218900795,0.408516303076505,0.33004118839578817,0.15209499087880124,0.24209557404316495,High Performance – High Scale,12202347.233069154,200.4277944224258
Hailakandi,16044.725360923603,89.55417139694902,302.8301091728064,4669.310973398319,0.008220881599977638,2.5022082974047044,True,80858.42010472309,0.4434167837751841,0.12860085722889697,0.01728552540585053,0.057626116384761616,Low Performance – Low Scale,3300098.2521595345,205.68119291071284
Chirang,28199.594352492393,68.565459587322,302.52956623035465,5098.155758226677,0.010872904538332902,2.9012934098498917,True,142843.8051604412,0.4071523380920146,0.20073078737396016,0.053831217084596296,0.11857198010880039,Low Performance – Low Scale,5832823.4790934175,206.84068735825235
Dhemaji,85787.71307577951,55.06813949729909,302.29137325365747,2986.75704621239,0.011376967504829874,2.906156962086038,True,423617.8132538756,0.40670792080663837,0.40138087984365123,0.2269797415713768,0.3195426608402701,High Performance – High Scale,17254651.449468974,201.13196669815983
Morigaon,28905.30774525597,64.28554885105171,303.3510061835415,4221.258505386929,0.009652102303999193,2.6429927150621344,True,144888.2094185189,0.42986303027794887,0.21661782139416916,0.05595306505213829,0.12605093251073693,Low Performance – Low Scale,5910261.494923053,204.46976544967123
Karbi Anglong East,52980.389143784516,52.289877722237236,302.2080186654071,3187.3761331273136,0.009511497603941878,2.733393454246462,True,262257.71135817457,0.42168249634007887,0.31633340856239317,0.12833891326997032,0.2205110613617589,High Performance – High Scale,10684787.82476898,201.67439306214465
Lakhimpur,91209.40645882107,52.20053190826731,302.149297323431,2963.9455579559544,0.011076762974289979,3.07631485544483,True,450264.3940495586,0.3931287681410084,0.3976674755473839,0.24328098964659442,0.3267046478003006,High Performance – High Scale,18339501.79387146,201.07028985164285
Bongaigaon,29423.39533464572,65.50572136619938,303.073104198883,5116.269065414771,0.010342692122660787,2.6783844002005357,True,149075.0930450567,0.4265550032277586,0.21933962850398758,0.05751078396441581,0.12840146452504123,Low Performance – Low Scale,6087396.299170071,206.88966143897846
Baksa,72942.21548551634,62.03438118376007,302.6412371245416,4562.308859555324,0.010864012171971063,3.024767085057034,True,367125.7273726779,0.3971696816910506,0.35879825028876217,0.18835755693742792,0.2772703364733422,High Performance – High Scale,14981739.106044542,205.39188460788347
Nagaon,38654.83830487327,57.82219847635756,303.3678610173909,3681.9655423536483,0.009657112202222826,2.684358555255951,True,192499.23051568534,0.4260744193644771,0.26252054336695185,0.08526669550685013,0.1674209298368199,High Performance – Low Scale,7847382.325385788,203.01164535970798
Cachar,25876.99369492809,91.28147003598811,301.57180822854394,4434.024181906305,0.008609747294635138,2.581558782386864,True,130041.16381502907,0.4357138495171495,0.2021548085848079,0.04684792112451028,0.1126384265738856,Low Performance – Low Scale,5305949.03406496,205.0450333071314
Darrang,16668.85898781861,64.63359391761071,303.54938751911516,4138.611643093489,0.010066908690422649,2.7676490449028353,True,83469.68395077478,0.41861006795429645,0.12523314093687438,0.01916208986003461,0.0591028893771736,Low Performance – Low Scale,3404552.906212145,204.24630796265953
Kamrup,53436.49315721332,62.52623877672708,302.75540670550754,5431.658044011724,0.00979444209621096,2.748823162703618,True,271756.18308390584,0.4202901275325589,0.3220464491376501,0.12971026796410728,0.22384162585524742,High Performance – High Scale,11101025.246942878,207.74239833222225
Dibrugarh,84288.18273693163,50.075973659546946,302.415612913615,2984.1460916064684,0.011043686127131276,2.8940607129983853,True,416199.8787355403,0.4077385183394997,0.39864125999506544,0.22247114724062156,0.3156885467403494,High Performance – High Scale,16952452.939198576,201.12490729700718
Barpeta,47983.35825755993,65.92940608260398,303.1694329034372,4978.057512568723,0.010290637034449535,2.773960518837287,True,242709.66001097288,0.4180382540212985,0.2983326818704017,0.11331448559380142,0.2025511307426522,High Performance – High Scale,9909329.785229424,206.51597022532658
Sonitpur,69475.68910909629,49.63569872422829,303.3374599614736,3456.5234117796003,0.010413358093782278,2.9320937494182813,True,345039.92314383073,0.4046529335203628,0.3544754600758357,0.17793485273249054,0.2690643221140983,High Performance – High Scale,14062025.609535372,202.40210338114176
Udalguri,70118.60510847335,57.361967483302585,302.6583284439579,4053.1653198493536,0.010708357162981305,2.9938306380625637,True,350758.74544134445,0.3996372097226238,0.3522420500068185,0.1798678896006678,0.269206892937909,High Performance – High Scale,14305266.952448087,204.01528139810918
Golaghat,47376.912613556204,53.53067535498825,303.09543852420177,2964.953511044345,0.009958449095265593,2.906625900145245,True,233883.76980097985,0.4067864716505779,0.2818338858816431,0.11149110308420367,0.19448764166278573,High Performance – High Scale,9526218.666161567,201.0730151174051
Kamrup Metropolitan,12593.205057616451,68.89211595566077,302.54125401724485,5271.190221780723,0.009626546600988661,2.6690398482264213,True,63921.889832930974,0.42747223914300425,0.08357732226347019,0.006907939525238415,0.030831345807506915,Low Performance – Low Scale,2610678.846768584,207.30853145201735
Dima Hasao,4150.505064780943,83.8533895518181,299.90683846145936,3951.246535737855,0.008947808651013607,2.568919804947784,False,,,,,,Not Eligible,,
Kokrajhar,41022.529767924956,59.13045951482338,303.1352707740692,5291.733460133422,0.01053871933469678,2.736167009442194,True,208277.27128049723,0.42134484720108206,0.2730030752446047,0.09238556468257765,0.1769873271305117,High Performance – High Scale,8506598.959566416,207.36407548950402
Jorhat,54246.78945423271,49.560906041690465,302.84637243581375,3008.435486488763,0.010374357256226112,2.942908672895672,True,267940.4376969443,0.4037726065370159,0.3039043430450103,0.132146562313297,0.21780331818435078,High Performance – High Scale,10913943.036257833,201.19058005203755
Charaideo,40195.59327744471,57.2826163854464,301.71482497241266,2899.658687173648,0.010608069211982738,2.9764474051030416,True,198273.56739186632,0.40103824998551907,0.2486303141375798,0.08989923874685939,0.16551404513794113,High Performance – High Scale,8075152.936510704,200.8964734211793
Majuli,19666.398933630706,57.13306351044539,303.22406019013505,3001.534960380152,0.010760837443705625,3.0976150294386917,True,97129.78622934321,0.3915138690099138,0.13629196505826716,0.028174706181145138,0.07254807782817548,Low Performance – Low Scale,3956327.2854405856,201.17192266831483
Biswanath,43463.25750907858,55.92526761865598,303.5518509268614,3039.9039897411503,0.010543906921389942,3.0836856530353645,True,214760.0613915994,0.3926010746985219,0.2548907808351428,0.09972402991505644,0.1751186516892487,High Performance – High Scale,8748095.989145635,201.27566341106248
Hojai,35308.246614840406,45.819892831677066,302.91039482703576,3707.336998923458,0.00920225923946463,2.580411215054309,True,175887.4516501164,0.43576654356666705,0.2532964199132809,0.07520459544115386,0.15583865190462365,High Performance – Low Scale,7170407.329017001,203.08024375255178
Karbi Anglong West,21986.45461374688,78.98892330882394,300.2817115347727,4922.312598372228,0.009197188434434012,2.5555114344053558,True,111137.99432194326,0.43814406685081314,0.177953068886466,0.03515035023143162,0.09301546293020456,Low Performance – Low Scale,4537240.185758778,206.36524921675638
South Salmara-Mankachar,7163.8504295986695,68.63379071569071,303.5837240016207,4969.0735697792625,0.009755078913243087,2.4238521839377976,False,,,,,,Not Eligible,,
Arwal,766.8700931295953,38.67222609301515,305.1002207181083,1774.649593304195,0.01719155460854386,3.2842555496848935,False,,,,,,Not Eligible,,
Bhagalpur,23353.176552268764,40.30021889522859,303.8927982158727,2324.7841023283304,0.013014458561098893,2.7917342792312434,True,114384.09803335386,0.41625485725585476,0.17195599839184747,0.039259633401035894,0.09524208494866805,Low Performance – Low Scale,4655272.401691519,199.34214907647151
Purnia,14097.62101020216,37.06329794477131,303.7273622331673,2731.9041979572535,0.01216804527000291,2.692605374777214,True,69396.81710184032,0.4251001741078379,0.09756976690892714,0.011431223288964761,0.04138340713648461,Low Performance – Low Scale,2825768.110622475,200.4429051240294
Madhepura,17511.012535263373,33.897405679546154,303.81248593381446,2358.985478912353,0.012717334157291276,2.7788528822604137,True,85805.27819877106,0.417399706081162,0.12902139796537437,0.02169416847909885,0.06323161137466789,Low Performance – Low Scale,3492302.156630477,199.43462147592777
Kishanganj,31732.495267329996,40.82231812686674,303.54462538682907,3724.008800058185,0.010965723618278805,2.690254412037472,True,158106.84625674345,0.42542147406186703,0.22836117522066465,0.06445348768700038,0.137680340286411,High Performance – Low Scale,6445673.26646762,203.12532034326733
Gaya,12410.614953341023,37.02430848238004,304.91644124158057,1822.659663764423,0.01738326329081291,3.0406202369580475,True,60411.07415165678,0.3954129331665345,0.06599099449321091,0.006358951160240941,0.025884811085977608,Low Performance – Low Scale,2457109.6922123483,197.9845238491488
Banka,32344.632162316782,39.834251877377106,304.0323922091258,2200.803724583862,0.013699130766118697,2.9050613985336704,True,158182.2249564191,0.4066064993582256,0.21623944503166292,0.06629398191568267,0.13475677008415635,Low Performance – Low Scale,6436806.129097592,199.00693558039018
Aurangabad_B,11741.162997143056,38.12485761951333,305.08674970079295,1725.3715181190516,0.017921116025197692,3.218200803734851,True,57083.4206380246,0.38196207625578976,0.05246150077741339,0.004346129401165245,0.01937070768201592,Low Performance – Low Scale,2321480.1224768315,197.7214798092583
Nawada,1436.917607052695,40.19433366827859,304.6739390583073,1897.8095247348779,0.01632651279705798,3.039082708447954,False,,,,,,Not Eligible,,
Araria,15089.277162205875,38.65659652203842,303.56598488666674,2862.8441671938704,0.0119674545862243,2.7951761916964335,True,74397.62514474062,0.4160474799929457,0.10639792848444382,0.014412807048328815,0.04782547945261983,Low Performance – Low Scale,3029880.6161382017,200.79693570260252
Pashchim Champaran,48751.867272690324,40.4518972311533,304.43526253566637,2662.8789638228122,0.01484416565588801,3.5932790711429226,True,239782.31240664606,0.3566255439746053,0.23799776498163022,0.11562513933583464,0.17830545698472067,High Performance – High Scale,9762867.450693259,200.25627728442296
Muzaffarpur,4631.622923071383,41.37058144756216,304.5512043805189,1869.0634915032967,0.014863340687495214,3.140865917698969,False,,,,,,Not Eligible,,
Saran,1364.4141535753654,63.91863668925992,304.8089243222589,1781.8393951396156,0.015945058039168222,3.2241653360786873,False,,,,,,Not Eligible,,
Sheikhpura,152.02068575367647,39.62903225806452,304.72752667288495,1923.5596935674457,0.015361296222521121,3.146674801321796,False,,,,,,Not Eligible,,
Jehanabad,313.80809610753676,36.420024755879524,305.05218036049286,1848.6208813376013,0.01676230122163459,3.2160393366323095,False,,,,,,Not Eligible,,
Saharsa,9646.098109620121,41.42384390271824,304.0288282899373,2080.926676873221,0.013216310418837683,2.887513761520248,False,,,,,,Not Eligible,,
Gopalganj,4058.4477779197236,40.75637693493111,304.68001434047653,1859.988058456056,0.01568488196131875,3.5058797228396377,False,,,,,,Not Eligible,,
Vaishali,1490.3241226087623,43.18522489003799,304.7803983147769,1836.3806073678834,0.015597715571063932,3.1514909730775966,False,,,,,,Not Eligible,,
Siwan,1671.6079595358472,40.95921985815603,304.82320566848347,1743.9937502751507,0.01617950936493264,3.3048304082853934,False,,,,,,Not Eligible,,
Sheohar,21.89185083180147,39.0,304.45048260356106,1973.5742244596574,0.01459908224184725,3.361441562761062,False,,,,,,Not Eligible,,
Buxar,159.4785439981617,35.392440073755374,305.1578718438206,1608.2716530229243,0.017629115755871134,3.360095211172046,False,,,,,,Not Eligible,,
Madhubani,25690.09293219681,38.20882319989201,303.8888895582445,2052.8495707890224,0.013178955850272801,3.1672061070561113,True,125408.54851215401,0.3860716868946278,0.16887341190049762,0.046285972027894126,0.10062746269586224,Low Performance – Low Scale,5102229.787021251,198.60690268764043
Supaul,48537.509507756615,40.007488776478425,303.62241139454886,2452.28344886828,0.012458661227167987,2.8786284229968717,True,238110.8573600932,0.4089070518598823,0.2869026551254428,0.11498063606791407,0.1990172052148469,High Performance – High Scale,9692303.6923412,199.68687702842078
Patna,2352.431715928312,38.89289672201267,304.93614232121985,1836.9154131939613,0.016198031241392186,3.1677005354997236,False,,,,,,Not Eligible,,
Bhojpur,1514.9435929319852,37.23258667545088,305.04303963763664,1726.1494483762226,0.017054838196121472,3.277917256158255,False,,,,,,Not Eligible,,
Darbhanga,6948.514621625305,38.43957385202823,304.22682540592206,1925.0471330587056,0.013727414329059861,3.0539405538055138,False,,,,,,Not Eligible,,
Samastipur,1546.7542901455263,38.50319782789048,304.50689522736997,1867.1763262746133,0.014581720396196336,3.0798215615342674,False,,,,,,Not Eligible,,
Kaimur (Bhabua),577.7471571767769,46.387490465293666,305.00138401832197,1566.6546300174173,0.018228628593846254,3.306507679406703,False,,,,,,Not Eligible,,
Rohtas,1534.7262732506128,45.722525076319236,304.9452728545492,1642.5311084283744,0.018039474513384984,3.292911951607348,False,,,,,,Not Eligible,,
Khagaria,1132.4302654963212,49.53772265224284,304.1232302258586,2036.9107227560326,0.013604937726210745,2.8740884513051266,False,,,,,,Not Eligible,,
Munger,7787.89992679224,41.56854531718515,304.1620651763162,1990.9117294191672,0.013949975609090661,2.92214053094361,False,,,,,,Not Eligible,,
Sitamarhi,1416.3286793673412,37.36718275403484,304.24425871406925,2021.6798954191868,0.014075997805229383,3.438282854817244,False,,,,,,Not Eligible,,
Purba Champaran,8623.795428633593,40.57033360889765,304.5104447404026,2011.5114533622082,0.014805631625117863,3.522869361202051,False,,,,,,Not Eligible,,
Lakhisarai,1370.4524741115204,39.732746887966805,304.46238498327864,1908.11222612128,0.014766602533528666,3.0441713075725034,False,,,,,,Not Eligible,,
Jamui,10794.830209255531,39.975470658860516,304.05340569449936,1999.8337871993278,0.014831459264421275,2.9713025936360644,True,52661.402158242265,0.40111236055448196,0.036009637630008445,0.001500818084719564,0.010101421014377554,Low Performance – Low Scale,2142380.4394019707,198.46356060006252
Begusarai,2597.493832812503,50.13665281745001,304.46549913801,1885.1670591788773,0.014513300570928868,3.0211544874185616,False,,,,,,Not Eligible,,
Nalanda,298.27295546874996,38.23204633204634,304.93851497968035,1870.6407409605254,0.01615638354055129,3.1639439026551535,False,,,,,,Not Eligible,,
Katihar,15752.608377737566,42.03345601324601,303.8576061668973,2774.3321835967195,0.012143692442004599,2.700750613943905,True,77583.99496516745,0.4243676751439188,0.11571985307930553,0.016407225754159722,0.052973514345516774,Low Performance – Low Scale,3159305.6500806366,200.55762032055196
Chandigarh,607.1139090042893,41.581221549159444,303.7492089522512,867.8941711016752,0.02177837727923372,3.377565066670502,False,,,,,,Not Eligible,,
Bemetra,38937.800821804296,38.67341867336644,305.7988241074287,1600.1362939975502,0.017021405929067635,3.1914674335394584,True,189014.1595242101,0.38398853518597154,0.2272811545727691,0.0861174706906531,0.15416101551338918,Low Performance – Low Scale,7685655.014235365,197.38287350659954
Bastar,176137.98497872136,40.746902175209904,303.9836048183969,1683.7915063848461,0.013363616137362165,3.2818963736978857,True,855908.986701272,0.37769628003897615,0.5340325944610029,0.498633280770041,0.5195808829016261,High Performance – High Scale,34806461.17214083,197.60905733278193
Mungeli,41325.20313419125,44.33446454407935,304.9038442337281,1697.503882602538,0.017241923094002132,3.087301636158755,True,200846.16609166257,0.3918078035350874,0.24326791775433573,0.09329560390476992,0.16580414169735588,High Performance – High Scale,8167766.567694987,197.6461323413851
Bilaspur,4830.447036515015,69.87300161905353,300.4427064338616,956.4092544010331,0.021373099553041307,3.6028867894967203,False,,,,,,Not Eligible,,
Gariaband,115109.46040303147,41.91639344848637,304.72197546828835,1713.5541014401051,0.014926298755114467,3.028304989627408,True,559559.3428174378,0.39657114370446517,0.4537965808511612,0.315140587899473,0.39220982432437096,High Performance – High Scale,22755934.932382554,197.68952832119493
Kabeerdham,95634.548470055,43.26201079436097,304.2967939025129,1663.4997520025363,0.01724828072860774,3.2452405034015626,True,464600.7058144362,0.3800483159282547,0.3865053677080188,0.2565859356471969,0.3280850618455755,High Performance – High Scale,18893006.069659866,197.55419324822375
Sukma,36505.17936398745,43.04432197564808,305.38597198198784,1505.3658391139113,0.013261921721913915,3.4024738339916993,True,176996.70715202164,0.36929423631682834,0.20551066740018661,0.07880337838491604,0.14006143009832958,Low Performance – Low Scale,7196143.2303201845,197.12663670457724
Uttar Bastar Kanker,116838.18806013644,39.46816417812272,305.01293905119564,1549.6178187944038,0.015634287855983794,3.405539928629997,True,566806.4242250171,0.3689237645080525,0.41339836170163674,0.32033830315225786,0.3733058528350934,High Performance – High Scale,23045898.371319458,197.24628354778807
Dakshin Bastar Dantewada,31340.53940256872,44.56131593874078,304.65053748154054,1580.200005431621,0.013956752068081769,3.4565164124163927,True,152097.36303547307,0.36559908802486113,0.18159794698742143,0.06327500536891222,0.11911307512646017,Low Performance – Low Scale,6184396.375762182,197.32897051718578
Surguja,233212.555091445,43.69405204396234,302.9926712787728,1823.1429082945206,0.017308615256717876,3.0560877486640843,True,1135214.1257741407,0.39421323636822414,0.6569406215153201,0.6702377335603912,0.6622275129047456,High Performance – High Scale,46172781.385919265,197.98583042758762
Balrampur,14054.498142429453,44.99434548408693,304.8397481337837,2449.534716899119,0.016368657626972257,3.022078695704503,True,68944.93402494038,0.39694768243982514,0.08861921229948044,0.011301567014510645,0.03888411304959671,Low Performance – Low Scale,2806394.3903798377,199.6794451099999
Kondagaon,126133.8503493725,40.62677501919724,304.02455311798576,1654.1389908252875,0.014589208284283823,3.2242893324199384,True,612697.6010080879,0.38176109342118003,0.45304444258645066,0.34828730105653877,0.4078115675674802,High Performance – High Scale,24915078.69075181,197.52888397318125
Narayanpur,13611.899739947909,40.75245319249452,304.18423664569866,1577.014846301394,0.01496121845699478,3.4568689210519086,True,66056.68110419044,0.36550842204679623,0.07284379908416411,0.009970819248671641,0.03287970331332814,Low Performance – Low Scale,2685904.9379596794,197.32035860337288
Durg,108772.28529732517,38.40745658231459,305.9081328858882,1471.0452609359684,0.01670018212597831,3.42183295618349,True,527161.0406441058,0.3677462192722221,0.3953567613056766,0.2960867875098504,0.35217710040609235,High Performance – High Scale,21431821.276592307,197.0338420123213
Surajpur,147598.8057764287,39.37231436432083,303.27993493444865,1790.8979016815736,0.017539553341062854,2.983691265958299,True,718182.7562121828,0.39990155868874416,0.5252524266849722,0.41282535930129244,0.47700989444355313,High Performance – High Scale,29209604.04874367,197.8986475878953
Bijapur_c,29743.91711789974,48.96787219046614,305.7070477444277,1484.992164926767,0.014384725795236983,3.5993368913806725,True,144177.89046086642,0.3562698930208332,0.16759411115335057,0.05847448750373396,0.10998711800565063,Low Performance – Low Scale,5861679.883056773,197.07155112832277
Raipur,190337.26838273907,41.203907674056595,305.82079173945175,1644.2045611711733,0.01647581396622422,3.1368907148340686,True,924452.7724239511,0.3880958183010517,0.5775670464186599,0.5413258539028583,0.5627881593085523,High Performance – High Scale,37591995.6787155,197.50202363482362
Baloda Bazar,213745.13256659821,39.39106598286491,305.555735735212,1838.7886007047375,0.016419179056246683,2.893535454885778,True,1040654.0144635509,0.4073357391480158,0.6546018140150679,0.6117055994940825,0.6370936920414948,High Performance – High Scale,42327549.46818535,198.02813266401296
